file_path,file_name,malicious_status,malicious_probability
source\python-packages-1757595213589\source\pip\_internal\models\candidate.py,candidate.py,benign,0.005173225421458483
source\python-packages-1757595213589\source\pip\_internal\models\direct_url.py,direct_url.py,benign,0.007535357028245926
source\python-packages-1757595213589\source\pip\_internal\models\format_control.py,format_control.py,benign,0.02141982689499855
source\python-packages-1757595213589\source\pip\_internal\models\index.py,index.py,benign,0.07374604046344757
source\python-packages-1757595213589\source\pip\_internal\models\installation_report.py,installation_report.py,benign,0.006648206617683172
source\python-packages-1757595213589\source\pip\_internal\models\link.py,link.py,benign,0.0190095417201519
source\python-packages-1757595213589\source\pip\_internal\models\pylock.py,pylock.py,benign,0.04361822456121445
source\python-packages-1757595213589\source\pip\_internal\models\scheme.py,scheme.py,benign,0.025865424424409866
source\python-packages-1757595213589\source\pip\_internal\models\search_scope.py,search_scope.py,benign,0.013535120524466038
source\python-packages-1757595213589\source\pip\_internal\models\selection_prefs.py,selection_prefs.py,benign,0.006390666589140892
source\python-packages-1757595213589\source\pip\_internal\models\target_python.py,target_python.py,benign,0.010986579582095146
source\python-packages-1757595213589\source\pip\_internal\models\wheel.py,wheel.py,benign,0.003833798225969076
source\python-packages-1757595213589\source\pip\_internal\models\__init__.py,__init__.py,malicious,0.9526895880699158
source\python-packages-1757595213589\source\pip\_internal\network\auth.py,auth.py,benign,0.040638700127601624
source\python-packages-1757595213589\source\pip\_internal\network\cache.py,cache.py,benign,0.01108939852565527
source\python-packages-1757595213589\source\pip\_internal\network\download.py,download.py,benign,0.0286027193069458
source\python-packages-1757595213589\source\pip\_internal\network\lazy_wheel.py,lazy_wheel.py,benign,0.030319765210151672
source\python-packages-1757595213589\source\pip\_internal\network\session.py,session.py,benign,0.028347225859761238
source\python-packages-1757595213589\source\pip\_internal\network\utils.py,utils.py,benign,0.04830031469464302
source\python-packages-1757595213589\source\pip\_internal\network\xmlrpc.py,xmlrpc.py,benign,0.005615021102130413
source\python-packages-1757595213589\source\pip\_internal\network\__init__.py,__init__.py,malicious,0.9526895880699158
source\python-packages-1757595213589\source\pip\_internal\operations\check.py,check.py,benign,0.0219196118414402
source\python-packages-1757595213589\source\pip\_internal\operations\freeze.py,freeze.py,benign,0.0123760299757123
