package,file_path,file_name,vulnerability_status,label
python-packages-1757595213589,source\pip\_internal\req\constructors.py,constructors.py,0.9998512268066406,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\util\ssl_match_hostname.py,ssl_match_hostname.py,0.9998512268066406,malicious
python-packages-1757595213589,source\pip\_vendor\tomli\_parser.py,_parser.py,0.9998511075973511,malicious
python-packages-1757595213589,source\pip\_vendor\distlib\scripts.py,scripts.py,0.9998509883880615,malicious
python-packages-1757595213589,source\pip\_vendor\packaging\licenses\__init__.py,__init__.py,0.9998509883880615,malicious
python-packages-1757595213589,source\pip\_internal\network\download.py,download.py,0.999850869178772,malicious
python-packages-1757595213589,source\pip\_internal\utils\entrypoints.py,entrypoints.py,0.999850869178772,malicious
python-packages-1757595213589,source\pip\_internal\utils\filesystem.py,filesystem.py,0.999850869178772,malicious
python-packages-1757595213589,source\pip\_vendor\pygments\lexers\__init__.py,__init__.py,0.999850869178772,malicious
python-packages-1757595213589,source\pip\_internal\index\collector.py,collector.py,0.9998506307601929,malicious
python-packages-1757595213589,source\pip\_vendor\platformdirs\unix.py,unix.py,0.9998506307601929,malicious
python-packages-1757595213589,source\pip\_vendor\requests\auth.py,auth.py,0.9998506307601929,malicious
python-packages-1757595213589,source\pip\_vendor\rich\color.py,color.py,0.9998506307601929,malicious
python-packages-1757595213589,source\pip\_internal\pyproject.py,pyproject.py,0.9998503923416138,malicious
python-packages-1757595213589,source\pip\_internal\utils\compat.py,compat.py,0.9998503923416138,malicious
python-packages-1757595213589,source\pip\_internal\vcs\bazaar.py,bazaar.py,0.9998503923416138,malicious
python-packages-1757595213589,source\pip\_internal\vcs\versioncontrol.py,versioncontrol.py,0.9998503923416138,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\util\response.py,response.py,0.9998501539230347,malicious
python-packages-1757595213589,source\pip\_vendor\pygments\unistring.py,unistring.py,0.9998500347137451,malicious
python-packages-1757595213589,source\pip\_vendor\rich\align.py,align.py,0.9998500347137451,malicious
python-packages-1757595213589,source\pip\_vendor\rich\table.py,table.py,0.9998499155044556,malicious
python-packages-1757595213589,source\pip\_vendor\truststore\_windows.py,_windows.py,0.9998496770858765,malicious
python-packages-1757595213589,source\pip\_internal\network\auth.py,auth.py,0.9998494386672974,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\contrib\securetransport.py,securetransport.py,0.9998493194580078,malicious
