file_path,file_name,malicious_status,malicious_probability
source\python-packages-1757595213589\source\pip\_internal\models\candidate.py,candidate.py,benign,0.005173227749764919
source\python-packages-1757595213589\source\pip\_internal\models\direct_url.py,direct_url.py,benign,0.007535353768616915
source\python-packages-1757595213589\source\pip\_internal\models\format_control.py,format_control.py,benign,0.02141982689499855
source\python-packages-1757595213589\source\pip\_internal\models\index.py,index.py,benign,0.07374604046344757
source\python-packages-1757595213589\source\pip\_internal\models\installation_report.py,installation_report.py,benign,0.0066482131369411945
source\python-packages-1757595213589\source\pip\_internal\models\link.py,link.py,benign,0.019009536132216454
source\python-packages-1757595213589\source\pip\_internal\models\pylock.py,pylock.py,benign,0.043618232011795044
source\python-packages-1757595213589\source\pip\_internal\models\scheme.py,scheme.py,benign,0.025865430012345314
source\python-packages-1757595213589\source\pip\_internal\models\search_scope.py,search_scope.py,benign,0.013535126112401485
source\python-packages-1757595213589\source\pip\_internal\models\selection_prefs.py,selection_prefs.py,benign,0.006390669383108616
source\python-packages-1757595213589\source\pip\_internal\models\target_python.py,target_python.py,benign,0.010986573994159698
source\python-packages-1757595213589\source\pip\_internal\models\wheel.py,wheel.py,benign,0.003833798225969076
source\python-packages-1757595213589\source\pip\_internal\models\__init__.py,__init__.py,malicious,0.9526895880699158
source\python-packages-1757595213589\source\pip\_internal\network\auth.py,auth.py,benign,0.04063873365521431
source\python-packages-1757595213589\source\pip\_internal\network\cache.py,cache.py,benign,0.01108939852565527
source\python-packages-1757595213589\source\pip\_internal\network\download.py,download.py,benign,0.02860272489488125
source\python-packages-1757595213589\source\pip\_internal\network\lazy_wheel.py,lazy_wheel.py,benign,0.03031977266073227
source\python-packages-1757595213589\source\pip\_internal\network\session.py,session.py,benign,0.02834722027182579
source\python-packages-1757595213589\source\pip\_internal\network\utils.py,utils.py,benign,0.048300307244062424
source\python-packages-1757595213589\source\pip\_internal\network\xmlrpc.py,xmlrpc.py,benign,0.0056150187738239765
source\python-packages-1757595213589\source\pip\_internal\network\__init__.py,__init__.py,malicious,0.9526895880699158
source\python-packages-1757595213589\source\pip\_internal\operations\check.py,check.py,benign,0.02191961742937565
source\python-packages-1757595213589\source\pip\_internal\operations\freeze.py,freeze.py,benign,0.012376035563647747
source\python-packages-1757595213589\source\pip\_internal\operations\prepare.py,prepare.py,benign,0.004729931242763996
source\python-packages-1757595213589\source\pip\_internal\operations\__init__.py,__init__.py,error,0.0
source\python-packages-1757595213589\source\pip\_internal\operations\build\build_tracker.py,build_tracker.py,benign,0.07024803012609482
source\python-packages-1757595213589\source\pip\_internal\operations\build\metadata.py,metadata.py,malicious,0.9347224831581116
source\python-packages-1757595213589\source\pip\_internal\operations\build\metadata_editable.py,metadata_editable.py,malicious,0.9347224831581116
source\python-packages-1757595213589\source\pip\_internal\operations\build\metadata_legacy.py,metadata_legacy.py,benign,0.008144810795783997
source\python-packages-1757595213589\source\pip\_internal\operations\build\wheel.py,wheel.py,benign,0.021580170840024948
source\python-packages-1757595213589\source\pip\_internal\operations\build\wheel_editable.py,wheel_editable.py,benign,0.012262141332030296
source\python-packages-1757595213589\source\pip\_internal\operations\build\wheel_legacy.py,wheel_legacy.py,benign,0.016230402514338493
source\python-packages-1757595213589\source\pip\_internal\operations\build\__init__.py,__init__.py,error,0.0
source\python-packages-1757595213589\source\pip\_internal\operations\install\editable_legacy.py,editable_legacy.py,benign,0.009005564264953136
source\python-packages-1757595213589\source\pip\_internal\operations\install\wheel.py,wheel.py,benign,0.007651484105736017
source\python-packages-1757595213589\source\pip\_internal\operations\install\__init__.py,__init__.py,malicious,0.9526895880699158
source\python-packages-1757595213589\source\pip\_internal\req\constructors.py,constructors.py,benign,0.025221383199095726
source\python-packages-1757595213589\source\pip\_internal\req\req_dependency_group.py,req_dependency_group.py,benign,0.01701365038752556
source\python-packages-1757595213589\source\pip\_internal\req\req_file.py,req_file.py,benign,0.06758086383342743
source\python-packages-1757595213589\source\pip\_internal\req\req_install.py,req_install.py,benign,0.02906576544046402
source\python-packages-1757595213589\source\pip\_internal\req\req_set.py,req_set.py,benign,0.004623781889677048
source\python-packages-1757595213589\source\pip\_internal\req\req_uninstall.py,req_uninstall.py,benign,0.02313249185681343
source\python-packages-1757595213589\source\pip\_internal\req\__init__.py,__init__.py,benign,0.003472650423645973
source\python-packages-1757595213589\source\pip\_internal\resolution\base.py,base.py,benign,0.022848336026072502
source\python-packages-1757595213589\source\pip\_internal\resolution\__init__.py,__init__.py,error,0.0
source\python-packages-1757595213589\source\pip\_internal\resolution\legacy\resolver.py,resolver.py,benign,0.02392890304327011
source\python-packages-1757595213589\source\pip\_internal\resolution\legacy\__init__.py,__init__.py,error,0.0
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\base.py,base.py,benign,0.011594039388000965
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\candidates.py,candidates.py,benign,0.00998324528336525
